player,team,goals,xg,xag
Erling Haaland,Manchester City,27,31.65,4.75
Cole Palmer,"Chelsea,Manchester City",22,17.83,11.87
Alexander Isak,Newcastle United,21,22.07,3.65
Dominic Solanke,Bournemouth,19,21.41,3.54
Phil Foden,Manchester City,19,11.31,8.52
Ollie Watkins,Aston Villa,19,19.26,7.75
Mohamed Salah,Liverpool,18,21.94,12.33
Son Heung-Min,Tottenham,17,12.98,13.34
Jarrod Bowen,West Ham,16,13.5,6.44
Jean-Philippe Mateta,Crystal Palace,16,12.29,3.53
Bukayo Saka,Arsenal,16,16.81,11.33
Chris Wood,Nottingham Forest,14,13.36,1.99
Nicolas Jackson,Chelsea,14,19.86,5.28
Kai Havertz,Arsenal,13,13.47,5.81
Yoane Wissa,Brentford,12,11.17,3.83
Matheus Cunha,Wolverhampton Wanderers,12,10.23,3.92
Leandro Trossard,Arsenal,12,9.58,3.25
Hee-Chan Hwang,Wolverhampton Wanderers,12,8.68,3.14
Richarlison,Tottenham,11,9.62,1.97
Anthony Gordon,Newcastle United,11,11.29,8.83
Eberechi Eze,Crystal Palace,11,9.37,6.84
Darwin Núñez,Liverpool,11,19.19,5.95
Julián Álvarez,Manchester City,11,14.37,5.82
Carlton Morris,Luton,11,12.31,3.69
Bruno Fernandes,Manchester United,10,10.75,13.16
Leon Bailey,Aston Villa,10,6.47,10.3
Diogo Jota,Liverpool,10,6.72,3.2
Michael Olise,Crystal Palace,10,5.69,5.2
Rasmus Højlund,Manchester United,10,9.34,1.78
Elijah Adebayo,Luton,10,6.63,0.81
Callum Wilson,Newcastle United,9,10.12,0.93
Douglas Luiz,Aston Villa,9,7.57,5.29
Bryan Mbeumo,Brentford,9,9.16,5.14
João Pedro,Brighton,9,11.92,5.42
Rodrigo Muniz,Fulham,9,8.48,1.39
Raheem Sterling,Chelsea,8,8.57,4.97
Rodri,Manchester City,8,4.29,5.33
Martin Odegaard,Arsenal,8,7.67,11.58
Callum Hudson-Odoi,Nottingham Forest,8,3.02,3.09
Dejan Kulusevski,Tottenham,8,5.84,8.62
Luis Díaz,Liverpool,8,12.86,6.48
Cody Gakpo,Liverpool,8,8.77,4.23
Antoine Semenyo,Bournemouth,8,6.42,3.8
Mohammed Kudus,West Ham,8,5.18,3.51
Marcus Rashford,Manchester United,7,7.66,2.39
James Ward-Prowse,West Ham,7,5.64,8.11
Abdoulaye Doucouré,Everton,7,10.2,2.55
Odsonne Edouard,Crystal Palace,7,7.87,1.04
Raúl Jiménez,Fulham,7,5.99,1.69
Declan Rice,Arsenal,7,3.19,5.9
Dominic Calvert-Lewin,Everton,7,13.63,3.07
Scott McTominay,Manchester United,7,6.78,1.06
Justin Kluivert,Bournemouth,7,7.3,1.67
Tomas Soucek,West Ham,7,7.47,2.15
Bruno Guimarães,Newcastle United,7,4.98,7.89
Alejandro Garnacho,Manchester United,7,9.87,5.92
Michail Antonio,West Ham,6,6.03,1.56
Oliver McBurnie,Sheffield United,6,7.43,2.19
Neal Maupay,"Brentford,Everton",6,7.23,2.38
Bernardo Silva,Manchester City,6,4.1,8.53
